Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
KIA,TNMShop,Lilongwe,Lilongwe,Grid,Prepaid,500,100, -   ,100, -   ,8684,8684, -   ,#DIV/0!, -   , -   , -   , -   
Kanengo MBC,TN20119 ,Lilongwe,Lilongwe,Grid,Prepaid,500,340, -   ,230,110,3738,3834,96,1.1, -   , -   , -   , -   
Nambuma,TN24016 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500, -   ,450,50,22678,22707,29,1.7, -   , -   , -   , -   
Dangalilo,TN24002 ,Lilongwe,Dowa,Grid,Prepaid,600,600,200,600,200,18343,18463,120,1.7, -   , -   , -   , -   
Lumbadzi,TN20138 ,Lilongwe,Lilongwe,Grid,Prepaid,500,390, -   ,390, -   ,1089,1089, -   ,#DIV/0!, -   , -   , -   , -   
Area 50,TN20080 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,579,21,4297,4304,7,3, -   , -   , -   , -   
Kayembe,TN24007 ,Lilongwe,Dowa,Grid,Prepaid,600,600, -   ,550,50,16491,16524,33,1.5, -   , -   , -   , -   
Airport Road,TN20003 ,Lilongwe,Lilongwe,Off Grid,Prepaid,600,366, -   ,366, -   ,23972,23972, -   ,#DIV/0!, -   , -   , -   , -   
Area 49 Gulliver stadium,TN20073 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,750, -   ,732,18,4281,4293,12,1.5, -   , -   , -   , -   
Area 43 TBS,TNMShop,Lilongwe,Lilongwe,Grid,Prepaid,500,500, -   ,446,54,12212,12224,12,4.5, -   , -   , -   , -   
Chiwuzira,TN20215 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,100,832,540,392,414,585,171,2.3, -   , -   , -   , -   
Capital Hill,TN20090 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,489,111,1231,1257,26,4.3, -   , -   , -   , -   
Area 11,TN20010 ,Lilongwe,Lilongwe,Grid,Prepaid,600,300,312,600,12,6154,6164,10,1.2, -   , -   , -   , -   
Area 12 Villa,TN20013 ,Lilongwe,Lilongwe,Grid,Prepaid,100,88,21,100,9,7590,7594,4,2.3, -   , -   , -   , -   
Area 12 PTC,TN20008 ,Lilongwe,Lilongwe,Grid,Prepaid,500,438, -   ,433,5,4117,4119,2,2.5, -   , -   , -   , -   
Area 12 Zikomo,TN20014 ,Lilongwe,Lilongwe,Grid,Prepaid,600,492, -   ,480,12,13202,13203,1,12, -   , -   , -   , -   
Area 18 B,TN20018 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,300, -   ,296,4,6186,6188,2,2, -   , -   , -   , -   
Area 18 Senti,TN20168 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,430, -   ,360,70,4353,4392,39,1.8, -   , -   , -   , -   
Bunda Proper,TN23086 ,Lilongwe,Lilongwe,Grid,Prepaid,600,258,438,552,144,7655,7679,24,6, -   , -   , -   , -   
Nathenje,TN22014 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,50,550,100,9758,9832,74,1.4, -   , -   , -   , -   
Kamphata,TN23112 ,Lilongwe,Lilongwe,Grid,Prepaid,500,422,450,500,372,18372,18459,87,4.3, -   , -   , -   , -   
Lobi,TN22010 ,Lilongwe,Dedza,Grid,Prepaid,600,510, -   ,450,60,16542,16632,90,0.7, -   , -   , -   , -   
Malirana,TN22011 ,Lilongwe,Dedza,Grid,Prepaid,600,417,994,600,811,2342,3033,691,1.2, -   , -   , -   , -   
Dedza Peak,TN22003 ,Lilongwe,Dedza,Grid,Prepaid,600,600, -   ,600, -   ,1152,1152, -   ,#DIV/0!, -   , -   , -   , -   
Area 24,TN20033 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,585,15,20980,20987,7,2.1, -   , -   , -   , -   
Area 24 Market,TN20032 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,790, -   ,690,100,2957,2987,30,3.3, -   , -   , -   , -   
Mpamantha,TN26016 ,Lilongwe,Nkhotakota,Grid,Prepaid,1000,370,500,570,300,1238,1296,58,5.2, -   , -   , -   , -   
Area 36 TC,TN20055 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,530,500,750,280,7617,7752,135,2.1, -   , -   , -   , -   
Area 38,TN20057 ,Lilongwe,Lilongwe,Grid,Prepaid,600,560,250,600,210,7767,7828,61,3.4, -   , -   , -   , -   
Area 36 Katantha,TN20052 ,Lilongwe,Lilongwe,Grid,Prepaid,600,480, -   ,460,20,16154,16165,11,1.8, -   , -   , -   , -   
Bunda T/O,TN20087 ,Lilongwe,Lilongwe,Grid,Prepaid,600,500, -   ,460,40,9424,9440,16,2.5, -   , -   , -   , -   
Bus Depot,TN20130 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500, -   ,500, -   ,1945,1945, -   ,#DIV/0!, -   , -   , -   , -   
Bwalo lanjovu,TN20088 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,597,151,1046,10294,10445,151,6.9, -   , -   , -   , -   
Old Town,TN20133 ,Lilongwe,Lilongwe,Grid,Prepaid,500,500, -   ,480,20,10244,10251,7,2.9, -   , -   , -   , -   
Kabwazi,TN22006 ,Lilongwe,Dedza,Grid,Prepaid,600,595, -   ,570,25,14048,14058,10,2.5, -   , -   , -   , -   
Area 3 Proper,TN20043 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100, -   ,100, -   ,6998,6998, -   ,#DIV/0!, -   , -   , -   , -   
Area 3 bwaila,TN20044 ,Lilongwe,Lilongwe,Grid,Prepaid,600,450, -   ,300,150,8528,8596,68,2.2, -   , -   , -   , -   
Area 3 Police,TN20046 ,Lilongwe,Lilongwe,Grid,Prepaid,600,580,547,600,527,6552,6740,188,2.8, -   , -   , -   , -   
MTSILIZA,TN20151 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,270,500,590,180,5464,5536,72,2.5, -   , -   , -   , -   
Area 47 ABC,TN20065 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,550,600,550,14011,14222,211,2.6, -   , -   , -   , -   
Area 47 Bwandilo,TN20066 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,550,500,690,360,2802,2923,121,3, -   , -   , -   , -   
Area 9,TN20081 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000, -   ,920,80,10594,10626,32,2.5, -   , -   , -   , -   
Game shop/Site,TNMShop,Lilongwe,Lilongwe,Grid,Prepaid,200,200, -   ,200, -   ,1497,1497, -   ,#DIV/0!, -   , -   , -   , -   
Kaphatenga,TN27007 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,700,416,1000,116,9992,10002,10,11.6, -   , -   , -   , -   
Khombedza,TN27009 ,Lilongwe,Salima,Grid,Prepaid,600,558,75,600,33,512,536,24,1.4, -   , -   , -   , -   
Kapiri,TN26022 ,Lilongwe,Lilongwe,Grid,Prepaid,600,340,365,600,105,8490,8499,9,11.7, -   , -   , -   , -   
Sani,TN26012 ,Lilongwe,Nkhotakota,Off Grid,Prepaid,600,600,525,600,525,12604,12802,198,2.7, -   , -   , -   , -   
Nkhota- kota,TN26010 ,Lilongwe,Nkhotakota,Grid,Prepaid,1000,600,500,824,276,3089,3233,144,1.9, -   , -   , -   , -   
Airwing,TN20210 ,Lilongwe,Lilongwe,Grid,Prepaid,600,540,999,530,1009,15300,15748,448,2.3, -   , -   , -   , -   
Benga,TN26015 ,Lilongwe,Salima,Off Grid,Prepaid,600,600, -   ,528,72,17105,17147,42,1.7, -   , -   , -   , -   
Salima MTL,TN27018 ,Lilongwe,Salima,Grid,Prepaid,600,290, -   ,290, -   ,1796,1796, -   ,#DIV/0!, -   , -   , -   , -   
Area 12 Proper,TN20214 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,20, -   ,20, -   ,371,371, -   ,#DIV/0!, -   , -   , -   , -   
Livingstonia beach,TN27012 ,Lilongwe,Salima,Grid,Prepaid,500,485, -   ,485, -   ,17117,17117, -   ,#DIV/0!, -   , -   , -   , -   
Lifidzi,TN27010 ,Lilongwe,Salima,Grid,Prepaid,1000,1000, -   ,1000, -   ,3257,3257, -   ,#DIV/0!, -   , -   , -   , -   
Bisai,TN22020 ,Lilongwe,Dedza,Grid,Prepaid,1000,500,700,830,370,2224,2343,119,3.1, -   , -   , -   , -   
Ngodzi,TN27016 ,Lilongwe,Salima,Grid,Prepaid,1000,700, -   ,700, -   ,12487,12487, -   ,#DIV/0!, -   , -   , -   , -   
Mua,TN27014 ,Lilongwe,Dedza,Grid,Prepaid,600,600, -   ,600, -   ,21419,21419, -   ,#DIV/0!, -   , -   , -   , -   
Mtakataka,TN27013 ,Lilongwe,Dedza,Grid,Prepaid,600,600, -   ,600, -   ,15227,15227, -   ,#DIV/0!, -   , -   , -   , -   
Chankhungu,TN25003 ,Lilongwe,Lilongwe,Grid,Prepaid,600,450, -   ,450, -   ,16279,16279, -   ,#DIV/0!, -   , -   , -   , -   
Mvera Proper,TN24014 ,Lilongwe,Salima,Grid,Prepaid,500,500, -   ,443,57,8205,8234,29,2, -   , -   , -   , -   
Mabulabo,TN25018 ,Lilongwe,Mzimba,Off Grid,Prepaid,800,690,306,800,196,35580,35592,12,16.3, -   , -   , -   , -   
Nkhamenya,TN25021 ,Lilongwe,Kasungu,Grid,Prepaid,500,500,51,500,51,4736,4756,20,2.6, -   , -   , -   , -   
Chatoloma,TN25004 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,288,1000,288,889,932,43,6.7, -   , -   , -   , -   
East African Plantation,TN25028 ,Lilongwe,Kasungu,Grid,Prepaid,225,200, -   ,200, -   ,3282,3282, -   ,#DIV/0!, -   , -   , -   , -   
Malandi Hill,TN24022 ,Lilongwe,Dowa,Grid,Prepaid,1000,750,620,1000,370,1692,1797,105,3.5, -   , -   , -   , -   
Chayamba,TN25011 ,Lilongwe,Kasungu,Grid,Prepaid,1000,875, -   ,800,75,59,89,30,2.5, -   , -   , -   , -   
Linyangwa,TN25017 ,Lilongwe,Kasungu,Prime,Prepaid,1000,366,835,1000,201,2616,2748,132,1.5, -   , -   , -   , -   
Chioko,TN24019 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,709,1000,459,2062,2208,146,3.1, -   , -   , -   , -   
Chamama,TN25002 ,Lilongwe,Kasungu,Grid,Prepaid,500,500,477,500,477,16880,16895,15,31.8, -   , -   , -   , -   
Nkhakomisesa,TN25020 ,Lilongwe,Kasungu,Grid,Prepaid,600,600,253,600,253,15682,15813,131,1.9, -   , -   , -   , -   
Madisi,TN24009 ,Lilongwe,Dowa,Grid,Prepaid,500,450, -   ,430,20,15713,15724,11,1.8, -   , -   , -   , -   
Mchinji Town,TN28007 ,Lilongwe,Mchinji,Grid,Prepaid,1000,440,383,683,140,1456,1526,70,2, -   , -   , -   , -   
Mwimba,TN25019 ,Lilongwe,Kasungu,Grid,Prepaid,500,500, -   ,420,80,26340,26406,66,1.2, -   , -   , -   , -   
Santhe,TN25023 ,Lilongwe,Mchinji,Grid,Prepaid,500,500,120,500,120,15609,15690,81,1.5, -   , -   , -   , -   
Kapirinthema,TN25010 ,Lilongwe,Kasungu,Grid,Prepaid,500,500,264,500,264,18889,19026,137,1.9, -   , -   , -   , -   
Nkanda,TN28009 ,Lilongwe,Mchinji,Grid,Prepaid,500,500,340,500,340,1209,1236,27,12.6, -   , -   , -   , -   
Kamwendo,TN28004 ,Lilongwe,Mchinji,Grid,Prepaid,1000,600, -   ,450,150,4391,4496,105,1.4, -   , -   , -   , -   
Mchinji,TN28006 ,Lilongwe,Mchinji,Grid,Prepaid,600,474, -   ,366,108,17628,17688,60,1.8, -   , -   , -   , -   
Mwami,TN28010 ,Lilongwe,Mchinji,Grid,Prepaid,600,516, -   ,474,42,12292,12328,36,1.2, -   , -   , -   , -   
Mikundi,TN28008 ,Lilongwe,Mchinji,Grid,Prepaid,500,500,460,500,460,12682,12915,233,2, -   , -   , -   , -   
Mpanda,TN24011 ,Lilongwe,Dowa,Grid,Prepaid,1000,700,250,830,120,4790,4843,53,2.3, -   , -   , -   , -   
Kasungu Shop,TNMShop,Lilongwe,Kasungu,Grid,Prepaid,100,100, -   ,100, -   ,10355,10355, -   ,#DIV/0!, -   , -   , -   , -   
Kanjuchi,TN15038 ,Lilongwe,Kasungu,Grid,Prepaid,1000,500, -   ,500, -   ,1979,2091,112,0, -   , -   , -   , -   
Salima Hospital,TN27020 ,Lilongwe,Salima,Grid,Prepaid,1000,800,285,1000,85,7917,7957,40,2.1, -   , -   , -   , -   
Salima Depot,TN27019 ,Lilongwe,Salima,Grid,Prepaid,600,600,90,600,90,12614,12661,47,1.9, -   , -   , -   , -   
Lifuwu,TN27011 ,Lilongwe,Salima,Prime,Prepaid,800,658, -   ,658, -   ,23532,23532, -   ,#DIV/0!, -   , -   , -   , -   
Silversand,TN27023 ,Lilongwe,Salima,Grid,Prepaid,600,450, -   ,450, -   ,13560,13560, -   ,#DIV/0!, -   , -   , -   , -   
Kambiri,TN27005 ,Lilongwe,Salima,Grid,Prepaid,500,500,371,500,371,18309,18369,60,6.2, -   , -   , -   , -   
Flea Market,TN20107 ,Lilongwe,Lilongwe,Grid,Prepaid,600,3, -   , -   ,3,3934,3952,18,0.2, -   , -   , -   , -   
Salima Shop,TNMShop,Lilongwe,Salima,Grid,Prepaid,120,180, -   ,180, -   ,5676,5676, -   ,#DIV/0!, -   , -   , -   , -   
Kauma,TN20122 ,Lilongwe,Lilongwe,Grid,Prepaid,600,300,1127,560,867,5663,6074,411,2.1, -   , -   , -   , -   
Area 6,TN20206 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,550,400,580,370,4210,4388,178,2.1, -   , -   , -   , -   
Maliri,TN23085 ,Lilongwe,Lilongwe,Grid,Prepaid,100,600,405,600,405,1375,1560,185,2.2, -   , -   , -   , -   
Chisepo,TN24020 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,680,785,1000,465,1279,1429,150,3.1, -   , -   , -   , -   
Malangalanga SHOP,TN20140 ,Lilongwe,Lilongwe,Grid,Prepaid,35,22, -   ,22, -   ,803,803, -   ,#DIV/0!, -   , -   , -   , -   
M'buka,TN20054 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,600, -   ,650,650, -   ,#DIV/0!, -   , -   , -   , -   
Area 49 Mvama,TN20075 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,600, -   ,16467,16467, -   ,#DIV/0!, -   , -   , -   , -   
Chilinde Parish,TN20094 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,500,740,360,7201,7320,119,3, -   , -   , -   , -   
Chimutu,TN20099 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,300,500,650,150,2896,3089,193,0.8, -   , -   , -   , -   
MCP/UNICEF,TN20136 ,Lilongwe,Lilongwe,Grid,Prepaid,600,535, -   ,535, -   ,20127,20127, -   ,#DIV/0!, -   , -   , -   , -   
Maluwa,TN23202 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,630,467,750,347,1324,1392,68,5.1, -   , -   , -   , -   
Chawantha,TN28011 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,373,600,373,1369,1574,205,1.8, -   , -   , -   , -   
Kakoma estate,TN23201 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,582,1000,582,3174,3397,223,2.6, -   , -   , -   , -   
Nthumbidwa,TN17006 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,0, -   , -   , -   ,1718,1718, -   ,#DIV/0!, -   , -   , -   , -   
TECHNICAL  NEW Dg,LLDC003,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000, -   ,1000, -   ,601,648,47,0, -   , -   , -   , -   
Kabungwe,TN23204 ,Lilongwe,Mchinji,Grid,Prepaid,1000,620,737,1000,357,1953,2069,116,3.1, -   , -   , -   , -   
Chilinde Mosque,TN20212 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,600, -   ,386,386, -   ,#DIV/0!, -   , -   , -   , -   
Katete BYPASS,TN20051 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,500,570,430,9806,9957,151,2.8, -   , -   , -   , -   
Area 25 A,TN20039 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,400, -   ,329,71,9702,9709,7,10.1, -   , -   , -   , -   
LINTHIPE 3,TN22009 ,Lilongwe,Dedza,Grid,Prepaid,1000,730,500,700,530,8037,8195,158,3.4, -   , -   , -   , -   
Area 49 New Shire,TN20076 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,610, -   ,573,37,12179,12194,15,2.5, -   , -   , -   , -   
Chisinga,TN23099 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000, -   ,930,70,8245,8266,21,3.3, -   , -   , -   , -   
NEW GULLIVER,TN20174 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,596,4,14153,14156,3,1.3, -   , -   , -   , -   
LUMBADZI RESIDENTIAL,TN20211 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,500,650,350,2513,2622,109,3.2, -   , -   , -   , -   
MALEMBO,TN23135 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,820, -   ,750,70,4297,4311,14,5, -   , -   , -   , -   
WAKAWAKA,TN20056 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,280,500,570,210,6064,6195,131,1.6, -   , -   , -   , -   
KAFUMU,TN27004 ,Lilongwe,Salima,Grid,Prepaid,1000,1000,440,1000,440,3635,3783,148,3, -   , -   , -   , -   
NKHOTA-KOTA NEW,TN26011 ,Lilongwe,Nkhotakota,Grid,Prepaid,600,600,400,600,400,15546,15911,365,1.1, -   , -   , -   , -   
KASUNTHA,TN24006 ,Lilongwe,Dowa,Grid,Prepaid,1000,700, -   ,551,149,4560,4665,105,1.4, -   , -   , -   , -   
SALIMA SUGAR,TN27021 ,Lilongwe,Salima,Grid,Prepaid,500,444, -   ,400,44,32807,32840,33,1.3, -   , -   , -   , -   
GUEST HOUSE AREA 10,TNMLLRes,Lilongwe,Lilongwe,Grid,Prepaid,60,105,40,70,75,648,677,29,2.6, -   , -   , -   , -   
AREA 47 MTL,TN20064 ,Lilongwe,Lilongwe,Grid,Prepaid,500,500, -   ,500, -   ,9705,9706,1,0, -   , -   , -   , -   
BWEMBA,TN20096 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,510,1547,1000,1057,5181,5692,511,2.1, -   , -   , -   , -   
AREA 49 BARGDAD,TN20071 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,530,1030,570,990,603,1009,406,2.4, -   , -   , -   , -   
AREA10 USAID,TN20009 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,780, -   ,771,9,5494,5499,5,1.8, -   , -   , -   , -   
AREA 25 KABWABWA,TN20035 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,300,700,580,420,15070,15348,278,1.5, -   , -   , -   , -   
AREA 25 Zibwenze,TN20042 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,680, -   ,480,200,7264,7264, -   ,#DIV/0!, -   , -   , -   , -   
AREA 36 LOWER,TN20053 ,Lilongwe,Lilongwe,Grid,Prepaid,600,500, -   ,500, -   ,24408,24409,1,0, -   , -   , -   , -   
UPPER BIWI,TN20172 ,Lilongwe,Lilongwe,Grid,Prepaid,600,50, -   ,50, -   ,6778,6778, -   ,#DIV/0!, -   , -   , -   , -   
WHITE FALLS,TN20006 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,570, -   ,500,70,13966,14011,45,1.6, -   , -   , -   , -   
AREA 13,TN20012 ,Lilongwe,Lilongwe,Grid,Prepaid,600,798, -   ,798, -   ,1528,1528, -   ,#DIV/0!, -   , -   , -   , -   
Dedza Township,TN22005 ,Lilongwe,Dedza,Grid,Prepaid,1000,1000, -   ,850,150,4600,4697,97,1.5, -   , -   , -   , -   
Area 18 Round About,TN20017 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,410,1418,1000,828,13651,14104,453,1.8, -   , -   , -   , -   
Kasungu mapuloti,TN25014 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,661,1000,661,4518,4816,298,2.2, -   , -   , -   , -   
Mponela,TN24012 ,Lilongwe,Ntchisi,Grid,Prepaid,1000,530,1346,1000,876,12058,12434,376,2.3, -   , -   , -   , -   
AREA 38 EXT,TN20058 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,500,660,440,9365,9584,219,2, -   , -   , -   , -   
AREA 22 A,TN20023 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,400, -   ,400, -   ,15001,15001, -   ,#DIV/0!, -   , -   , -   , -   
Nalikule,TN20152 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,580,799,500,879,10648,10957,309,2.8, -   , -   , -   , -   
AREA 2,TN20020 ,Lilongwe,Lilongwe,Grid,Prepaid,600,502,934,600,836,19667,20008,341,2.5, -   , -   , -   , -   
AREA 47 sector 3,TN20067 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,550,500,600,450,12796,13040,244,1.8, -   , -   , -   , -   
Kawale PTC,TN20192 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,380, -   ,352,28,13245,13264,19,1.5, -   , -   , -   , -   
