Sites Name,Region,District,Site Status,Escom,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
Malandi Hill,Lilongwe,Dowa,Grid,Prepaid,1000,750,620,1000,370,1692,1797,105,3.5, -   , -   , -   , -   
Chayamba,Lilongwe,Kasungu,Grid,Prepaid,1000,875, -   ,800,75,59,89,30,2.5, -   , -   , -   , -   
Linyangwa,Lilongwe,Kasungu,Prime,Prepaid,1000,366,835,1000,201,2616,2748,132,1.5, -   , -   , -   , -   
Chioko,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,709,1000,459,2062,2208,146,3.1, -   , -   , -   , -   
Chamama,Lilongwe,Kasungu,Grid,Prepaid,500,500,477,500,477,16880,16895,15,31.8, -   , -   , -   , -   
Nkhakomisesa,Lilongwe,Kasungu,Grid,Prepaid,600,600,253,600,253,15682,15813,131,1.9, -   , -   , -   , -   
Madisi,Lilongwe,Dowa,Grid,Prepaid,500,450, -   ,430,20,15713,15724,11,1.8, -   , -   , -   , -   
Mchinji Town,Lilongwe,Mchinji,Grid,Prepaid,1000,440,383,683,140,1456,1526,70,2, -   , -   , -   , -   
Mwimba,Lilongwe,Kasungu,Grid,Prepaid,500,500, -   ,420,80,26340,26406,66,1.2, -   , -   , -   , -   
Santhe,Lilongwe,Mchinji,Grid,Prepaid,500,500,120,500,120,15609,15690,81,1.5, -   , -   , -   , -   
Kapirinthema,Lilongwe,Kasungu,Grid,Prepaid,500,500,264,500,264,18889,19026,137,1.9, -   , -   , -   , -   
Nkanda,Lilongwe,Mchinji,Grid,Prepaid,500,500,340,500,340,1209,1236,27,12.6, -   , -   , -   , -   
Kamwendo,Lilongwe,Mchinji,Grid,Prepaid,1000,600, -   ,450,150,4391,4496,105,1.4, -   , -   , -   , -   
Mchinji,Lilongwe,Mchinji,Grid,Prepaid,600,474, -   ,366,108,17628,17688,60,1.8, -   , -   , -   , -   
Mwami,Lilongwe,Mchinji,Grid,Prepaid,600,516, -   ,474,42,12292,12328,36,1.2, -   , -   , -   , -   
Mikundi,Lilongwe,Mchinji,Grid,Prepaid,500,500,460,500,460,12682,12915,233,2, -   , -   , -   , -   
Mpanda,Lilongwe,Dowa,Grid,Prepaid,1000,700,250,830,120,4790,4843,53,2.3, -   , -   , -   , -   
Kasungu Shop,Lilongwe,Kasungu,Grid,Prepaid,100,100, -   ,100, -   ,10355,10355, -   ,#DIV/0!, -   , -   , -   , -   
Kanjuchi,Lilongwe,Kasungu,Grid,Prepaid,1000,500, -   ,500, -   ,1979,2091,112,0, -   , -   , -   , -   
Salima Hospital,Lilongwe,Salima,Grid,Prepaid,1000,800,285,1000,85,7917,7957,40,2.1, -   , -   , -   , -   
Salima Depot,Lilongwe,Salima,Grid,Prepaid,600,600,90,600,90,12614,12661,47,1.9, -   , -   , -   , -   
Lifuwu,Lilongwe,Salima,Prime,Prepaid,800,658, -   ,658, -   ,23532,23532, -   ,#DIV/0!, -   , -   , -   , -   
Silversand,Lilongwe,Salima,Grid,Prepaid,600,450, -   ,450, -   ,13560,13560, -   ,#DIV/0!, -   , -   , -   , -   
Kambiri,Lilongwe,Salima,Grid,Prepaid,500,500,371,500,371,18309,18369,60,6.2, -   , -   , -   , -   
Flea Market,Lilongwe,Lilongwe,Grid,Prepaid,600,3, -   , -   ,3,3934,3952,18,0.2, -   , -   , -   , -   
Salima Shop,Lilongwe,Salima,Grid,Prepaid,120,180, -   ,180, -   ,5676,5676, -   ,#DIV/0!, -   , -   , -   , -   
Kauma,Lilongwe,Lilongwe,Grid,Prepaid,600,300,1127,560,867,5663,6074,411,2.1, -   , -   , -   , -   
Area 6,Lilongwe,Lilongwe,Grid,Prepaid,1000,550,400,580,370,4210,4388,178,2.1, -   , -   , -   , -   
