 Sites Name , site ID , Region , District , Site Status (Grid/Prime) , ESCOM , Tank Size , Opening  Litres , Litres Dispensed , Closing Litres , Usage in Litres , Opening Hours , Closing Hours , Hours Run , Average Usage Per Hour , Opening Readings , Units Bought , Closing Readings , Power Usage 
 Nsanama , TN33011 , South , Machinga , GRID , PREPAID , 600 , 343 , -   , 268 , 268 ," 11,904 "," 11,934 ", 30 , 9 ," 3,689 ", -   , -   , -   
 Mvuu camp , TN33006 , South , Machinga , OFF GRID  ,, 600 ," 1,347 ", -   ," 1,206 "," 1,206 "," 3,216 "," 3,277 ", 61 , 20 ,, -   , -   , -   
 Namanja , TN33007 , South , Machinga , GRID , PREPAID , 600 , 500 , 534 , 500 , 500 ," 24,776 "," 24,998 ", 222 , 2 ," 2,005 ", -   , -   , -   
 Liwonde Road Block , TN32020 , South , Machinga , GRID , PREPAID , 600 , 490 , -   , 490 , 490 ," 3,543 "," 3,543 ", -   ,#DIV/0!," 1,568 ", -   , -   , -   
 Liwonde Residential , TN33003 , South , Machinga , GRID , PREPAID ," 1,000 ", 515 , -   , 370 , 370 ," 11,726 "," 11,784 ", 58 , 6 ," 2,376 ", -   , -   , -   
 Liwonde MTL , TN33002 , South , Machinga , GRID , postpaid , 800 , 588 , -   , 420 , 420 ," 2,850 "," 2,900 ", 50 , 8 ,, -   , -   , -   
 Namanolo , TN32012 , South , Machinga , GRID , PREPAID , 600 , 500 , -   , 320 , 320 ," 6,954 "," 7,557 ", 603 , 1 ," 2,550 ", -   , -   , -   
 Ulongwe DG 2 , TN32018 , South , Machinga , GRID , POSTPAID  , 600 , 827 , -   , 780 , 780 ," 7,929 "," 7,949 ", 20 , 39 ,, -   , -   , -   
 Mkwepere , TN33014 , South , Machinga , OFF GRID ,," 1,000 ", 466 , 679 , 718 , 718 ," 6,043 "," 6,298 ", 255 , 3 ,, -   , -   , -   
 MOBILE DG ZOMBA , TNMSRMOB01 , South , Zomba , OFF GRID , AT CHAPOLA ," 1,000 ", 265 , -   , 265 , 265 , 805 , 805 , -   ,#DIV/0!,, -   , -   , -   
 Lizulu , TN21005 , South , Ntcheu , OFF GRID , OFF GRID , 600 , 230 , 919 , 600 , 600 ," 28,924 "," 29,267 ", 343 , 2 ,, -   , -   , -   
 Phombeya Fiber Repeater , TN32015 , South , Balaka , GRID , OFF GRID ," 1,000 ", 810 , -   , 746 , 746 ," 3,794 "," 3,823 ", 29 , 26 ,, -   , -   , -   
 Mota 3.2 , TN49003 , South , Balaka , OFF GRID , OFF GRID , 600 , 800 , -   , 517 , 517 ," 1,017 "," 1,080 ", 63 , 8 ,, -   , -   , -   
 Kandeu , TN21004 , South , Balaka , GRID , PREPAID , 600 , 650 , -   , 642 , 642 ," 25,183 "," 25,186 ", 3 , 214 ,, -   , -   , -   
 Balaka  BSC , TN32002 , South , Balaka , GRID , PREPAID ," 1,000 ", 596 , -   , 596 , 596 ," 1,484 "," 1,484 ", -   ,#DIV/0!, 455 , -   , -   , -   
 Tsangano Proper , TN21016 , South , Ntcheu , GRID , PREPAID ," 1,000 "," 1,000 ", -   ," 1,000 "," 1,000 "," 2,450 "," 2,450 ", -   ,#DIV/0!," 2,197 ", -   , -   , -   
 Neno , TN49005 , South , neno , GRID , POSTPAID , 500 , 480 , -   , 467 , 467 ," 2,764 "," 2,769 ", 5 , 93 ," 5,529 ", -   , -   , -   
 Phalula , TN32014 , South , Balaka , GRID , POSTPAID ," 1,000 ", 783 , 655 , 745 , 745 ," 13,624 "," 13,954 ", 330 , 2 ,, -   , -   , -   
 Senzani , TN21014 , South , Balaka , GRID , POSTPAID ," 1,000 ", 550 , -   , 497 , 497 ," 17,127 "," 17,151 ", 24 , 21 ," 6,763 ", -   , -   , -   
 Andiamo , TN32001 , South , Balaka , GRID , PREPAID ," 1,000 ", 530 , -   , 482 , 482 ," 17,181 "," 17,197 ", 16 , 30 ,, -   , -   , -   
 Nachitheme , TN32011 , South , Balaka , GRID , POSTPAID ," 1,000 ", 950 , -   , 937 , 937 ," 6,727 "," 6,732 ", 5 , 187 ,, -   , -   , -   
