Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,,,,
Malandi Hill,TN24022 ,Lilongwe,Dowa,Grid,Prepaid,1000,1000,0,1000,0,1867,1867,0,#DIV/0!,0,0,0,0,,,,
Chayamba,TN25011 ,Lilongwe,Kasungu,Grid,Prepaid,1000,710,0,660,50,113,133,20, 2.5 ,0,0,0,0,,,,
Linyangwa,TN25017 ,Lilongwe,Kasungu,Prime,Prepaid,1000,336,800,890,246,2963,3080,117, 2.1 ,0,0,0,0,,,,
Chioko,TN24019 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,1000,0,2303,2303,0,#DIV/0!,0,0,0,0,,,,
Chamama,TN25002 ,Lilongwe,Kasungu,Grid,Prepaid,500,500,343,500,343,16895,16981,86, 4.0 ,0,0,0,0,,,,
Nkhakomisesa,TN25020 ,Lilongwe,Kasungu,Grid,Prepaid,600,580,0,540,40,15889,15918,29, 1.4 ,0,0,0,0,,,,
Madisi,TN24009 ,Lilongwe,Dowa,Grid,Prepaid,500,415,0,400,15,15731,15748,17, 0.9 ,0,0,0,0,,,,
Mchinji Town,TN28007 ,Lilongwe,Mchinji,Grid,Prepaid,1000,920,0,860,60,1621,1651,30, 2.0 ,0,0,0,0,,,,
Mwimba,TN25019 ,Lilongwe,Kasungu,Grid,Prepaid,500,500,0,410,90,26478,26537,59, 1.5 ,0,0,0,0,,,,
Santhe,TN25023 ,Lilongwe,Mchinji,Grid,Prepaid,500,470,0,400,70,15712,15758,46, 1.5 ,0,0,0,0,,,,
Kapirinthema,TN25010 ,Lilongwe,Kasungu,Grid,Prepaid,500,500,282,500,282,19087,19176,89, 3.2 ,0,0,0,0,,,,
Nkanda,TN28009 ,Lilongwe,Mchinji,Grid,Prepaid,500,680,0,680,0,2162,2162,0,#DIV/0!,0,0,0,0,,,,
Kamwendo,TN28004 ,Lilongwe,Mchinji,Grid,Prepaid,1000,500,492,642,350,4893,5067,174, 2.0 ,0,0,0,0,,,,
Mchinji,TN28006 ,Lilongwe,Mchinji,Grid,Prepaid,600,380,400,600,180,18063,18164,101, 1.8 ,0,0,0,0,,,,
Mwami,TN28010 ,Lilongwe,Mchinji,Grid,Prepaid,600,450,170,600,20,12522,12544,22, 0.9 ,0,0,0,0,,,,
Mikundi,TN28008 ,Lilongwe,Mchinji,Grid,Prepaid,500,500,0,400,100,13058,13105,47, 2.1 ,0,0,0,0,,,,
Mpanda,TN24011 ,Lilongwe,Dowa,Grid,Prepaid,1000,630,0,630,0,4990,4990,0,#DIV/0!,0,0,0,0,,,,
Kasungu Shop,TNMShop,Lilongwe,Kasungu,Grid,Prepaid,100,90,33,100,23,10360,10369,9, 2.6 ,0,0,0,0,,,,
Kanjuchi,TN15038 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,0,500,500,2317,2456,139, 3.6 ,0,0,0,0,,,,
Salima Hospital,TN27020 ,Lilongwe,Salima,Grid,Prepaid,1000,703,0,666,37,8002,8017,15, 2.5 ,0,0,0,0,,,,
Salima Depot,TN27019 ,Lilongwe,Salima,Grid,Prepaid,600,400,140,440,100,12901,12951,50, 2.0 ,0,0,0,0,,,,
Lifuwu,TN27011 ,Lilongwe,Salima,Prime,Prepaid,800,658,0,658,0,23532,23573,41, -   ,0,0,0,0,,,,
Silversand,TN27023 ,Lilongwe,Salima,Grid,Prepaid,600,600,161,511,250,13707,13791,84, 3.0 ,0,0,0,0,,,,
Kambiri,TN27005 ,Lilongwe,Salima,Grid,Prepaid,500,500,200,300,400,18369,18631,262, 1.5 ,0,0,0,0,,,,
Flea Market,TN20107 ,Lilongwe,Lilongwe,Grid,Prepaid,600,0,0,0,0,3952,3952,0,#DIV/0!,0,0,0,0,,,,
Salima Shop,TNMShop,Lilongwe,Salima,Grid,Prepaid,120,120,60,140,40,5712,5734,22, 1.8 ,0,0,0,0,,,,
Kauma,TN20122 ,Lilongwe,Lilongwe,Grid,Prepaid,600,354,600,414,540,6228,6400,172, 3.1 ,0,0,0,0,,,,
Area 6,TN20206 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,300,460,840,5032,5386,354, 2.4 ,0,0,0,0,,,,
Maliri,TN23085 ,Lilongwe,Lilongwe,Grid,Prepaid,100,300,500,350,450,1961,2125,164, 2.7 ,0,0,0,0,,,,
Chisepo,TN24020 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,1000,0,1963,1963,0,#DIV/0!,0,0,0,0,,,,
