Sites Name,site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,
Neno,TN49005,South,neno,GRID,POSTPAID,500,830,0,785.8,44.2,2827,2844,17, 2.61 ,830,,,,Neno
Phalula,TN32014,South,Balaka,GRID,POSTPAID,1000,619,0,574.9,44.1,14014,14035,21, 2.10 ,619,,,,Phalula
Senzani,TN21014,South,Balaka,GRID,POSTPAID,1000,390,0,381.2,8.80000000000001,17200,17204,4, 2.19 ,390,,,,Senzani
Andiamo,TN32001,South,Balaka,GRID,PREPAID,1000,416,0,365,51,17219,17236,17, 3.00 ,416,,,,Andiamo
Nachitheme,TN32011,South,Balaka,GRID,POSTPAID,1000,894,0,861.6,32.4,6748,6760,12, 2.67 ,894,,,,Nachitheme
Manjawira,TN32008,South,Balaka,GRID,PREPAID,600,580,0,520,60,13313,13338,25, 3.56 ,580,,,,Manjawira
Ntcheu Peak,TN21012,South,Ntcheu,GRID,POSTPAID,600,580,0,525.4,54.6,8069,8095,26, 1.34 ,580,,,,Ntcheu Peak
New Balaka BSC,TN32002,South,Balaka,GRID,BACK UP DG,600,890,0,680,210,3304,3334,30, 7.00 ,890,,,,New Balaka BSC
Chembera,TN32005,South,Balaka,GRID,POSTPAID,600,438,0,387.4,50.6,18701,18724,23, 2.20 ,438,,,,Chembera
Nkaya,TN32013,South,Balaka,OFF GRID ,,600,844,0,844,0,7806,7806,0, 2.00 ,844,,,,Nkaya
Balaka Macra,TN32003,South,Balaka,GRID,PREPAID,600,434,0,291.5,142.5,9560,9635,75, 1.88 ,434,,,,Balaka Macra
Balaka Majiga,TN32004,South,Balaka,GRID,PREPAID,600,486,0,413.5,72.5,13033,13058,25, 2.88 ,486,,,,Balaka Majiga
Khwisa,TN32007,South,Balaka,GRID,PREPAID,600,538,0,485.5,52.5,3682,3703,21, 2.47 ,538,,,,Khwisa
Mphombeya BTS,TN32015,South,Balaka,GRID ,PREPAID,600,430,0,358,72,5596,5632,36, 2.00 ,430,,,,Mphombeya BTS
Ntcheu MTL,TN21011,South,Ntcheu,GRID,PREPAID AIRTEL,600,761,0,741.2,19.8,2473,2484,11, 1.82 ,761,,,,Ntcheu MTL
UTALE,TN32019,South,Balaka,OFFGRID,OFFGRID,600,606,0,606,0,28728,28728,0,#DIV/0!,606,,,,UTALE
