Sites Name,Site ID,Region,District,Site Status         (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage
AREA 6,TN15020,North,MZUZU,Grid,Prepaid,1000,532,0,400,132,155,155,0,#DIV/0!,1050,0,913,137
KAPOKA,TN15014,North,CHITIPA,OFFGRID,Prepaid,600,600,0,413,187,5341,5396,55, 3.4 ,0,0,0,0
MZIMBA DAPP,TN12007,North,MZIMBA,OFFGRID,Prepaid,1000,900,0,400,500,2058,2188,130, 3.8 ,0,0,0,0
MZALANGWE,TN15040,North,MZIMBA,OFFGRID,Prepaid,600,600,0,406,194,10390,10447,57, 3.4 ,0,0,0,0
UZUMALA,TN15043,North,RUMPHI,OFFGRID,Prepaid,600,500,0,250,250,15467,15605,138, 1.8 ,0,0,0,0
MZIMBA TURN OFF,TN15023,North,MZIMBA,OFFGRID,Prepaid,600,510,0,300,210,11904,12011,107, 2.0 ,0,0,0,0
MTUPI,TN26017,North,NKHOTAKOTA,OFFGRID,Prepaid,600,510,560,320,750,25183,25422,239, 3.1 ,0,0,0,0
MSONGWE MZUZU,TN13007,North,MZUZU,Grid,Prepaid,600,552,0,0,552,6899,6899,0,#DIV/0!,900,0,817,83
ST ANDREWS MZUZU,TN10046,North,MZUZU,OFFGRID,Prepaid,600,581,0,536,45,11337,11352,15, 3.0 ,956,2927,850,3033
CHIZUMULU,TN12023,North,LIKOMA,OFFGRID,Prepaid,1000,700,800,1000,500,1928,2038,110, 4.5 ,0,0,0,0
DOROBA,TN14007,North,MZUZU,Grid,Prepaid,300,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0
MKOMBEZI,TN14020,North,RUMPHI,OFFGRID,Prepaid,600,247,663,600,310,1936,2023,87, 3.6 ,0,0,0,0
ULIWA,TN10058,North,KARONGA,Grid,Prepaid,600,400,290,600,90,7110,7166,56, 1.6 ,1540,0,1121,419
BULA,TN12024,North,NKHATABAY,OFFGRID,Prepaid,1000,750,600,910,440,6821,6978,157, 2.8 ,0,0,0,0
NTHUNGWA,TN10059,North,MZIMBA,OFFGRID,Prepaid,1000,420,540,644,316,23241,23357,116, 2.7 ,0,0,0,0
SANGA,TN14022,North,NKHATABAY,OFFGRID,Prepaid,600,400,1092,80,1412,13869,14575,706, 2.0 ,0,0,0,0
CHIBAKO,,,,,,600,0,631,600,31,9021,9037,16, 1.9 ,0,0,0,
