Site Name,Site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
Ulumba,TN31034,South,Zomba,OFF GRID ,PREPAID ,600,855,0,524,331,409,527,118, 2.81 ,524,,,
Skinner(former Chanco),TN30028,South,Zomba,OFF GRID ,PREPAID ,600,490,139,600,29,13842,13853,11, 2.64 ,600,,,
KOKOLO,TN45014,South,Zomba,OFF GRID ,PREPAID ,1000,410,900,700,610,3378,3564,186, 3.28 ,700,,,
MBANIRA,TN33021,South,Machinga,OFF GRID ,PREPAID ,600,865,0,730,135,6215,6277,62, 2.18 ,730,,,
NANYUMBU,#N/A,South,Machinga,OFF GRID,PREPAID ,,0,0,0,0,0,0,0,#DIV/0!,0,,,
KAWINGA,TN33020,South,Machinga,OFF GRID ,PREPAID ,1000,660,676,520,816,5558,5945,387, 2.11 ,520,,,
GOSHEN CITY,TN34055,South,Mangochi,OFF GRID ,PREPAID ,1000,1000,542,1000,542,3706,3917,211, 2.57 ,1000,,,
NTCHEU SHOP,TNMShop,South,Ntcheu,GRID,PREPAID ,1000,0,0,0,0,0,0,0,#DIV/0!,0,,,
MANGOCHI SHOP,TNMShop,South,Mangochi,GRID,PREPAID ,1000,0,0,0,0,0,0,0,#DIV/0!,0,,,
LIKUNGWATI OLD DG,TN30009,South,Zomba,GRID,PREPAID ,1000,0,0,0,0,0,0,0,#DIV/0!,0,,,
KATEMA,TN34014 ,South,Mangochi,GRID,PREPAID ,1000,514,0,514,0,19869,19869,0,#DIV/0!,514,,,
NKOPOLA BACKUP DG,TN34039,South,Mangochi,GRID,PREPAID ,1000,520,0,520,0,28622,28622,0,#DIV/0!,520,,,
