Sites Name,Site ID,Region,District,Site Status         (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,
KAFOTEKA,TN10050,North,MZIMBA,GRID,Prepaid,0,955,0,931,24,6386,6398,12, 2.0 ,740,2561,911,2390,SONDA
MZUZU TECHNICAL COLLEE,TN13021,North,MZUZU,GRID,Prepaid,0,0,0,0,0,0,0,0,#DIV/0!,1057,2561,800,2818,MZUZU VHF
SONDA,TN10045,North,MZUZU,GRID,Prepaid,50,50,35,50,35,9273,9292,19, 1.8 ,892,2561,836,2617,KABOKO
MZUZU VHF,TN11013,North,MZUZU,GRID,Prepaid,1000,994,0,830,164,1444,1507,63, 2.6 ,0,0,0,0,KADIKECHI
KABOKO,TN15006,North,MZUZU,GRID,Prepaid,600,0,0,0,0,0,0,0,#DIV/0!,915,2651,950,2616,BWABWA
KADIKECHI,TN15036,North,MZIMBA,OFFGRID,Prepaid,1000,240,900,900,240,7492,7475,-17,-14.1 ,0,0,0,0,MUYEWA
BWABWA,TN15017,North,MZIMBA,OFFGRID,Prepaid,1000,1000,1532,1000,1532,3875,4547,672, 2.3 ,0,0,0,0,MALAZA
MUYEWA,TN16003,North,NKHATABAY,OFFGRID,Prepaid,1000,504,1230,380,1354,10778,11298,520, 2.6 ,0,0,0,0,LISALE
MALAZA,TN10038,North,NKHATABAY,GRID,Prepaid,1000,400,0,310,90,4517,4565,48, 1.9 ,814,2561,480,2895,ENDYONGOLENI
LISALE,TN14013,North,NKHATABAY,GRID,Prepaid,0,400,600,850,150,7762,7840,78, 1.9 ,1560,2927,2055,2432,ENGALAWENI
ENDYONGOLENI,TN14001,North,MZIMBA,OFFGRID,Prepaid,1000,1000,0,685,315,2725,2830,105, 3.0 ,0,0,0,0,IPONGA
ENGALAWENI,TN10038,North,MZIMBA,GRID,Prepaid,1000,740,0,733,7,3380,3385,5, 1.4 ,810,2561,1051,2320,MASASA
IPONGA,TN12011,North,KARONGA,Grid,Prepaid,1000,914,0,912,2,2171,2173,2, 1.0 ,920,2456,917,2459,MTWALO
MASASA,TN10040,North,MZUZU,Grid,Prepaid,600,560,0,518,42,10039,10060,21, 2.0 ,510,2561,590,2481,AREA 6
MTWALO,TN10048,North,MZIMBA,OFFGRID,Prepaid,1000,400,600,950,50,3401,3465,64, 0.8 ,1510,2561,1888,2183,KAPOKA
AREA 6,TN15020,North,MZUZU,Grid,Prepaid,1000,400,0,384,16,155,164,9, 1.8 ,913,2927,690,3150,MZIMBA DAPP
KAPOKA,TN15014,North,CHITIPA,OFFGRID,Prepaid,600,413,0,144,269,5396,5480,84, 3.2 ,0,0,0,0,MZALANGWE
MZIMBA DAPP,TN12007,North,MZIMBA,OFFGRID,Prepaid,1000,400,1000,800,600,2188,2291,103, 5.8 ,0,0,0,0,UZUMALA
MZALANGWE,TN15040,North,MZIMBA,OFFGRID,Prepaid,600,406,0,406,0,10447,10447,0,#DIV/0!,0,0,0,0,MZIMBA TURN OFF
UZUMALA,TN15043,North,RUMPHI,OFFGRID,Prepaid,600,250,586,600,236,15605,15729,124, 1.9 ,0,0,0,0,MTUPI
MZIMBA TURN OFF,TN15023,North,MZIMBA,OFFGRID,Prepaid,600,300,590,580,310,12011,12105,94, 3.3 ,0,0,0,0,MSONGWE MZUZU
MTUPI,TN26017,North,NKHOTAKOTA,OFFGRID,Prepaid,600,320,950,500,770,25422,25654,232, 3.3 ,0,0,0,0,ST ANDREWS MZUZU
MSONGWE MZUZU,TN13007,North,MZUZU,Grid,Prepaid,600,0,600,600,0,6899,6899,0,#DIV/0!,817,2927,1024,2720,CHIZUMULU
ST ANDREWS MZUZU,TN10046,North,MZUZU,OFFGRID,Prepaid,600,536,0,476,60,11352,11376,24, 2.5 ,850,2927,541,3236,DOROBA
CHIZUMULU,TN12023,North,LIKOMA,OFFGRID,Prepaid,1000,1000,0,667,333,2038,2149,111, 3.0 ,0,0,0,0,MKOMBEZI
DOROBA,TN14007,North,MZUZU,Grid,Prepaid,300,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,ULIWA
MKOMBEZI,TN14020,North,RUMPHI,OFFGRID,Prepaid,600,600,620,600,620,2023,2182,159, 3.9 ,0,0,0,0,BULA
ULIWA,TN10058,North,KARONGA,Grid,Prepaid,600,600,0,550,50,7166,7197,31, 1.6 ,1121,2456,820,2757,NTHUNGWA
BULA,TN12024,North,NKHATABAY,OFFGRID,Prepaid,1000,910,0,622,288,6978,7183,205, 1.4 ,0,0,0,0,SANGA
NTHUNGWA,TN10059,North,MZIMBA,OFFGRID,Prepaid,1000,644,0,395,249,23357,23465,108, 2.3 ,0,0,0,0,CHIBAKO
SANGA,TN14022,North,NKHATABAY,OFFGRID,Prepaid,600,80,1134,400,814,14575,15027,452, 1.8 ,0,0,0,0,
CHIBAKO,,,,,,,600,0,424,,9037,9125,88, -   ,0,0,0,,
