Sites Name,site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,
Manjawira,TN32008,South,Balaka,GRID,PREPAID,600,434,0,343,91,13374,13412,38, 3.56 ,580,,,,Manjawira
Ntcheu Peak,TN21012,South,Ntcheu,GRID,POSTPAID,600,433,447,300,580,8139,8428,289, 1.34 ,580,,,,Ntcheu Peak
New Balaka BSC,TN32002,South,Balaka,GRID,BACK UP DG,600,600,914,804,710,3346,3108,-238, 7.00 ,890,,,,New Balaka BSC
Chembera,TN32005,South,Balaka,GRID,POSTPAID,600,357,0,291,66,18738,18768,30, 2.20 ,438,,,,Chembera
Nkaya,TN32013,South,Balaka,OFF GRID ,,600,842,0,620,222,7807,7914,107, 2.00 ,844,,,,Nkaya
Balaka Macra,TN32003,South,Balaka,GRID,PREPAID,600,589,0,570,19,9643,9652,9, 1.88 ,434,,,,Balaka Macra
Balaka Majiga,TN32004,South,Balaka,GRID,PREPAID,600,324,362,110,576,13089,13308,219, 2.88 ,486,,,,Balaka Majiga
Khwisa,TN32007,South,Balaka,GRID,PREPAID,600,483,0,358,125,3704,3754,50, 2.47 ,538,,,,Khwisa
Mphombeya BTS,TN32015,South,Balaka,GRID ,PREPAID,600,288,316,460,144,5667,5733,66, 2.00 ,430,,,,Mphombeya BTS
Ntcheu MTL,TN21011,South,Ntcheu,GRID,PREPAID AIRTEL,600,732,0,467,265,2489,2636,147, 1.82 ,761,,,,Ntcheu MTL
UTALE,TN32019,South,Balaka,OFFGRID,OFFGRID,600,606,0,606,0,28728,28728,0,#DIV/0!,606,,,,UTALE
BLK Shop,TNMShop,South,Balaka,GRID,,600,600,0,0,600,0,0,0,#DIV/0!,600,,,,BLK Shop
 MAWIRA new DG,TN33016,South,Machinga,OFF GRID,,800,385,325,490,220,10674,10700,26, 2.50 ,460,,,, MAWIRA new DG
MANGOCHI ACL,TN34022,South,Mangochi,GRID,ACCESS,1000,255,400,275,380,4820,5010,190, 2.00 ,424,,,,
MANGOCHI NORTH,TN34025,South,mangochi,GRID,PREPAID,600,650,0,437,213,12978,13063,85, 2.63 ,522,,,,MANGOCHI ACL
MANGOCHI AIRPORT,TN34023,South,Mangochi,GRID,PREPAID,600,331,266,491,106,6135,6179,44, 5.24 ,600,,,,MANGOCHI NORTH
NANSENGA,TN34036,South,Mangochi,OFF GRID ,PREPAID,600,494,0,153,341,33345,33487,142, 2.31 ,455,,,,MANGOCHI AIRPORT
PALM BEACH,TN34040,South,Mangochi,GRID,PREPAID,600,436,372,517,291,27251,27286,35, 2.61 ,642,,,,NANSENGA
NAMIYASI,TN34032,South,Mangochi,GRID,PREPAID,600,316,339,595,60,9653,9688,35, 1.72 ,428,,,,PALM BEACH
SUN AND SAND,TN34042,South,Mangochi,GRID,PREPAID,600,439,387,661,165,7428,7494,66, 2.61 ,622,,,,NAMIYASI
CHIKOWA,TN34005,South,Mangochi,GRID,PREPAID,1000,240,0,182,58,7506,7542,36, 1.60 ,341,,,,SUN AND SAND
CHIKOKOBAY,TN34003,South,Mangochi,GRID,PREPAID,600,477,0,412,65,17077,17104,27, 2.40 ,593,,,,CHIKOWA
MANZINZIBAY,TN34027,South,Mangochi,GRID,PREPAID,1000,478,0,432,46,7246,7273,27, 1.70 ,589,,,,CHIKOKOBAY
CHIKOKO STATE,TN34004,South,Mangochi,GRID,PREPAID,300,182,388,517,53,9910,9932,22, 2.43 ,396,,,,MANZINZIBAY
MONKEY BAY,TN34028,South,Mangochi,GRID,POSTPAID,600,543,374,204,713,8334,8709,375, 1.94 ,425,,,,CHIKOKO STATE
NAMBANDE,TN34031,South,Mangochi,OFF GRID,POSTPAID,600,200,898,417,681,3207,3434,227, 3.00 ,680,,,,MONKEY BAY
NGAPANI from Mbaluku,TN34037,South,Mangochi,OFF GRID,POSTPAID,1000,530,742,903,369,3352,3442,90, 4.10 ,603,,,,NAMBANDE
NAMWERA,TN34033,South,Mangochi,GRID,PREPAID,600,600,355,524,431,17070,17281,211, 2.00 ,192,,,,NGAPANI from Mbaluku
CHIPHOLE,TN34008,South,Mangochi,OFF GRID ,OFFGRID,1000,908,0,665,243,7472,7553,81, 3.00 ,725,,,,NAMWERA
MALEKANO,TN34018,South,Mangochi,OFF GRID ,PREPAID,600,620,0,336,284,20263,20392,129, 2.04 ,388,,,,CHIPHOLE
KATULI,TN34012,South,Mangochi,GRID,PREPAID,600,600,267,508,359,10818,10983,165, 2.00 ,370,,,,MALEKANO
NANKHWALI,TN34034,South,Mangochi,OFF GRID,PREPAID,600,410,542,514,438,12623,12769,146, 3.00 ,449,,,,KATULI
NKHUZIBAY,TN34038,South,Mangochi,OFF GRID ,PREPAID,600,537,0,492,45,19390,19408,18, 2.50 ,710,,,,NANKHWALI
CHING'OMBE,TN34007,South,Mangochi,GRID,PREPAID,600,484,0,458,26,29084,29097,13, 2.00 ,556,,,,NKHUZIBAY
NKOPOLA,TN34039,South,Mangochi,GRID,PREPAID,600,508,0,58,450,8916,8971,55, 2.90 ,393,,,,CHING'OMBE
LULANGA,TN34015,South,Mangochi,OFF GRID ,OFFGRID,1000,771,0,487,284,14936,15010,74, 4.00 ,612,,,,NKOPOLA
Nambande Backup Dg,TN34031,South,Mangochi,OFF GRID ,OFFGRID,600,534,0,534,0,9380,9380,0,#DIV/0!,534,,,,LULANGA
Mulibwanji ,TN34029,South,Mangochi,OFF GRID ,OFFGRID,1000,0,0,0,0,0,0,0,#DIV/0!,0,,,,Nambande Backup Dg
MOBILE DG MH,TNMSRMOB02,South,Mangochi,,AT NKHUDZIBAY,600,300,0,300,0,15,15,0,#DIV/0!,300,,,,Mulibwanji 
MH MTL,TN34021,South,Mangochi,GRID ,PREPAID ,1000,923,0,699,224,9966,10036,70, 3.20 ,1087,,,,MOBILE DG MH
LUGOLA,TN34044,South,Mangochi,OFF GRID ,PREPAID ,1000,700,864,738,826,9857,10152,295, 2.74 ,818,,,,MH MTL
MH KARONGA,TN34052,South,Mangochi,OFF GRID ,PREPAID ,1000,839,0,786,53,16587,16619,32, 2.25 ,890,,,,LUGOLA
LUNGWENA ,TN34045,South,Mangochi,OFF GRID ,PREPAID ,600,600,1327,987,940,7920,8141,221, 4.26 ,1031,,,,MH KARONGA
Mbaluku,TN34047,South,Mangochi,GRID,PREPAID ,600,20,966,200,786,924,1362,438, 2.00 ,76,,,,LUNGWENA 
Makunganya,TN34046,South,Mangochi,OFF GRID ,PREPAID ,600,332,900,300,932,11377,11762,385, 1.97 ,1000,,,,Mbaluku
Chembe ,TN34013,South,Mangochi,OFF GRID ,PREPAID ,600,248,520,564,204,27395,27436,41, 2.00 ,468,,,,Makunganya
Majiga 1,TN32021,South,Balaka,OFF GRID ,PREPAID ,600,706,0,145,561,3505,3686,181, 2.97 ,600,,,,Chembe 
Dziwe,TN32022,South,Balaka,OFF GRID ,PREPAID ,1000,900,0,100,800,2731,3126,395, 3.04 ,790,,,,
Chapola,TN31036,South,Balaka,OFF GRID,PREPAID ,600,370,920,785,505,2997,3220,223, 2.50 ,830,,,,Majiga 1
St Therese/Liwonde Hospital,TN33018,South,Machinga,OFF GRID ,PREPAID ,1000,499,0,475,24,3336,3344,8, 2.86 ,590,,,,Dziwe
Dzunje,TN21018,South,Zomba,OFF GRID ,PREPAID ,600,927,0,500,427,3506,3664,158, 2.97 ,895,,,,Chapola
MPOTOLA,TN31035,South,Machinga,OFF GRID ,PREPAID ,600,410,0,230,180,15068,15160,92, 2.31 ,600,,,,St Therese/Liwonde Hospital
Dzenje,TN45013,South,Zomba,OFF GRID ,PREPAID ,1000,500,965,940,525,1587,1678,91, 2.51 ,842,,,,Dzunje
chingondo,TN31010,South,Zomba,OFF GRID ,PREPAID ,600,486,581,600,467,19860,20055,195, 2.50 ,581,,,,MPOTOLA
Namasalima,TN31033,South,Zomba,OFF GRID ,PREPAID ,600,574,0,574,0,228,228,0,#DIV/0!,600,,,,
Ulumba,TN31034,South,Zomba,OFF GRID ,PREPAID ,600,724,0,410,314,758,861,103, 2.81 ,524,,,,Dzenje
Skinner(former Chanco),TN30028,South,Zomba,OFF GRID ,PREPAID ,600,595,0,491,104,13855,13894,39, 2.64 ,600,,,,chingondo
